time,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,orientation_x,orientation_y,orientation_z,orientation_w,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z
0.005,0.0,-2.0,0.0,-3.0,-3.0,-1.0,-1.0,-2.0,0.032958984375,-0.08966064453125,0.992919921875,-0.06988525390625,0.06591796875,-0.181640625,0.978515625,0.9375,-2.6875,1.4375
0.01,1.0,13.0,8.0,-1.0,-6.0,-3.0,1.0,1.0,0.03497314453125,-0.088623046875,0.99285888671875,-0.071533203125,0.05517578125,-0.17578125,0.98876953125,1.75,-1.9375,2.1875
0.015,-5.0,-6.0,-2.0,-4.0,-5.0,-4.0,0.0,0.0,0.0355224609375,-0.08709716796875,0.99273681640625,-0.07427978515625,0.06103515625,-0.1689453125,0.9912109375,1.75,-0.9375,2.0
0.02,1.0,-8.0,-15.0,-5.0,-2.0,-3.0,1.0,1.0,0.03546142578125,-0.086669921875,0.99261474609375,-0.07635498046875,0.0595703125,-0.15966796875,0.990234375,0.4375,0.8125,1.8125
0.025,-1.0,-7.0,-4.0,0.0,2.0,1.0,-1.0,1.0,0.0350341796875,-0.0860595703125,0.99267578125,-0.0767822265625,0.06494140625,-0.1708984375,0.98095703125,-1.0,0.6875,-1.0625
0.03,-1.0,2.0,0.0,-2.0,4.0,7.0,3.0,3.0,0.03607177734375,-0.08636474609375,0.99285888671875,-0.07366943359375,0.06298828125,-0.17578125,0.986328125,-1.25,-0.875,-3.875
0.035,2.0,7.0,1.0,3.0,2.0,1.0,2.0,2.0,0.03729248046875,-0.0863037109375,0.9932861328125,-0.06719970703125,0.05810546875,-0.18798828125,0.9951171875,-1.5625,-0.1875,-5.25
0.04,2.0,-5.0,1.0,-1.0,-6.0,-4.0,2.0,7.0,0.0357666015625,-0.08551025390625,0.99365234375,-0.06317138671875,0.04345703125,-0.17236328125,0.99951171875,-0.4375,2.6875,-5.4375
0.045,0.0,18.0,-28.0,-10.0,-4.0,-2.0,-3.0,-4.0,0.02911376953125,-0.088623046875,0.9942626953125,-0.0521240234375,0.04052734375,-0.1943359375,1.0107421875,-6.5625,8.9375,-13.4375
0.05,1.0,2.0,0.0,6.0,4.0,3.0,2.0,4.0,0.0206298828125,-0.0908203125,0.993896484375,-0.05853271484375,-0.00634765625,-0.17822265625,0.97021484375,22.75,-1.375,24.875
0.055,8.0,-26.0,-5.0,-2.0,3.0,2.0,2.0,3.0,0.01885986328125,-0.087646484375,0.993408203125,-0.0706787109375,0.044921875,-0.23876953125,0.98681640625,-10.625,1.8125,0.375
0.06,1.0,98.0,56.0,17.0,1.0,-3.0,-3.0,-2.0,0.01531982421875,-0.09417724609375,0.99267578125,-0.0736083984375,0.01904296875,-0.1826171875,0.958984375,-3.625,4.6875,4.4375
0.065,-36.0,-83.0,53.0,34.0,15.0,10.0,9.0,7.0,0.017578125,-0.1024169921875,0.9925537109375,-0.06329345703125,0.07470703125,-0.16259765625,0.97607421875,-14.3125,3.5,-16.375
0.07,-24.0,-1.0,101.0,32.0,5.0,-1.0,16.0,2.0,0.01837158203125,-0.15277099609375,0.98779296875,-0.02349853515625,0.0400390625,-0.25439453125,0.966796875,-51.25,13.625,-46.875
0.075,40.0,84.0,76.0,11.0,3.0,-1.0,-3.0,17.0,0.01507568359375,-0.19091796875,0.9814453125,0.00262451171875,0.03173828125,-0.294921875,0.91015625,-19.1875,4.25,-5.6875
0.08,10.0,54.0,62.0,-1.0,-8.0,-7.0,-20.0,-16.0,0.01513671875,-0.19439697265625,0.98077392578125,0.00714111328125,0.0419921875,-0.3857421875,0.97216796875,1.6875,-0.8125,-1.375
0.085,-7.0,57.0,21.0,-4.0,-17.0,-17.0,5.0,5.0,0.01361083984375,-0.1824951171875,0.98309326171875,0.0057373046875,0.052734375,-0.38232421875,0.96337890625,24.375,3.625,2.25
0.09,-7.0,4.0,-4.0,-6.0,-30.0,-30.0,-12.0,-6.0,0.007080078125,-0.15716552734375,0.987548828125,0.0015869140625,-0.029296875,-0.34716796875,0.9267578125,19.375,1.625,-0.3125
0.095,8.0,3.0,-25.0,-5.0,-2.0,1.0,11.0,16.0,0.001220703125,-0.15081787109375,0.9884033203125,0.01495361328125,0.00830078125,-0.341796875,1.0126953125,15.75,4.75,-23.9375
0.1,14.0,41.0,29.0,5.0,5.0,4.0,6.0,-1.0,-0.00830078125,-0.15460205078125,0.98760986328125,0.02490234375,0.0322265625,-0.455078125,0.97314453125,-5.5625,3.9375,17.0625
0.105,-2.0,-4.0,5.0,1.0,-4.0,1.0,4.0,5.0,-0.00653076171875,-0.15380859375,0.98748779296875,0.03399658203125,0.05859375,-0.33154296875,0.90966796875,-12.375,0.375,-0.5
0.11,4.0,-6.0,4.0,1.0,7.0,2.0,-3.0,3.0,-0.00445556640625,-0.15350341796875,0.9873046875,0.0394287109375,0.01025390625,-0.3232421875,0.93798828125,13.75,-3.125,7.0
0.115,-1.0,-16.0,-3.0,-3.0,7.0,-2.0,-1.0,-25.0,0.00189208984375,-0.15057373046875,0.98809814453125,0.0308837890625,0.005859375,-0.29248046875,0.95166015625,1.3125,-8.5625,9.3125
0.12,3.0,-9.0,-16.0,-9.0,-10.0,-9.0,-1.0,4.0,0.0113525390625,-0.14007568359375,0.98992919921875,0.013671875,0.02392578125,-0.24658203125,0.9794921875,14.6875,-13.3125,13.8125
0.125,2.0,-13.0,-5.0,-4.0,-2.0,4.0,-3.0,-1.0,0.01885986328125,-0.134033203125,0.99078369140625,0.0045166015625,0.02197265625,-0.23974609375,0.978515625,-0.4375,-4.0,2.0625
0.13,4.0,14.0,6.0,-1.0,-2.0,-3.0,-2.0,2.0,0.01904296875,-0.134033203125,0.99078369140625,0.0030517578125,0.0361328125,-0.26123046875,0.9765625,1.1875,-0.125,0.75
0.135,0.0,22.0,-1.0,0.0,2.0,3.0,1.0,2.0,0.0181884765625,-0.13494873046875,0.99066162109375,0.00030517578125,0.03564453125,-0.29736328125,0.955078125,1.6875,-1.0625,6.5625
0.14,-1.0,22.0,11.0,5.0,-2.0,-2.0,-1.0,1.0,0.0177001953125,-0.12884521484375,0.99139404296875,-0.0106201171875,0.0283203125,-0.263671875,0.9736328125,11.8125,-4.0,10.75
0.145,-3.0,28.0,8.0,5.0,4.0,0.0,1.0,-1.0,0.01788330078125,-0.12408447265625,0.9918212890625,-0.02301025390625,0.0185546875,-0.27392578125,0.974609375,10.6875,-1.125,20.25
0.15,-27.0,-11.0,17.0,-19.0,-14.0,-13.0,-13.0,-16.0,0.0164794921875,-0.12347412109375,0.99169921875,-0.03076171875,0.08447265625,-0.19873046875,0.9921875,-1.5625,4.375,-0.9375
0.155,-43.0,64.0,-47.0,-28.0,-7.0,-1.0,1.0,-2.0,0.009033203125,-0.142578125,0.98956298828125,-0.0172119140625,0.08642578125,-0.3076171875,0.9736328125,-40.1875,11.1875,-20.625
0.16,-10.0,-14.0,45.0,52.0,18.0,5.0,2.0,0.0,-0.00457763671875,-0.19140625,0.98126220703125,0.0194091796875,-0.0234375,-0.36865234375,0.9267578125,-34.75,17.25,-21.3125
0.165,6.0,-26.0,12.0,-10.0,-3.0,-3.0,-8.0,-4.0,-0.0050048828125,-0.21002197265625,0.9771728515625,0.03125,-0.0341796875,-0.38623046875,0.935546875,-5.75,-2.375,-2.625
0.17,-14.0,-35.0,-14.0,-4.0,-6.0,-9.0,-5.0,-7.0,-0.0032958984375,-0.202392578125,0.97900390625,0.02337646484375,-0.00390625,-0.404296875,0.96337890625,13.5,-2.5,8.625
0.175,-2.0,2.0,12.0,1.0,-1.0,7.0,14.0,-4.0,-0.00762939453125,-0.18939208984375,0.98175048828125,0.01312255859375,-0.0009765625,-0.41650390625,0.9609375,20.6875,-1.875,6.875
0.18,-4.0,-7.0,-6.0,-3.0,-12.0,-8.0,2.0,-14.0,-0.00384521484375,-0.16046142578125,0.9869384765625,0.0111083984375,0.03125,-0.345703125,0.947265625,0.5,-0.125,-2.125
0.185,0.0,5.0,-3.0,-3.0,2.0,9.0,-22.0,-2.0,-0.00372314453125,-0.16046142578125,0.98675537109375,0.0225830078125,0.00927734375,-0.369140625,0.96484375,7.0,-1.25,-7.25
0.19,-2.0,-16.0,7.0,4.0,-1.0,2.0,-3.0,-7.0,0.00067138671875,-0.1514892578125,0.98822021484375,0.021240234375,0.033203125,-0.29833984375,0.953125,12.5,-3.5,4.8125
0.195,-1.0,5.0,0.0,-2.0,-10.0,-3.0,-2.0,2.0,0.0045166015625,-0.15435791015625,0.98779296875,0.01776123046875,0.01806640625,-0.29443359375,0.98583984375,-2.9375,-3.375,-3.25
0.2,3.0,29.0,10.0,1.0,0.0,-3.0,4.0,1.0,0.00750732421875,-0.1513671875,0.98828125,0.01531982421875,0.02294921875,-0.306640625,0.96630859375,3.6875,-1.4375,2.375
0.205,-3.0,-8.0,-4.0,-2.0,0.0,-1.0,-3.0,-1.0,0.00927734375,-0.15118408203125,0.98834228515625,0.01385498046875,0.02490234375,-0.30615234375,0.970703125,1.4375,-2.25,1.75
0.21,7.0,-4.0,-1.0,5.0,3.0,1.0,7.0,1.0,0.011962890625,-0.1473388671875,0.98895263671875,0.01031494140625,0.02490234375,-0.30322265625,0.97802734375,6.75,-3.75,3.125
0.215,-2.0,14.0,15.0,0.0,-1.0,-4.0,-2.0,-4.0,0.01373291015625,-0.13970947265625,0.99005126953125,0.00653076171875,0.0322265625,-0.294921875,0.99169921875,7.8125,-3.1875,2.5625
0.22,-3.0,4.0,11.0,1.0,-1.0,-1.0,0.0,-3.0,0.0146484375,-0.13470458984375,0.99072265625,0.0,0.0390625,-0.3154296875,0.95458984375,3.75,-2.1875,6.875
0.225,-2.0,60.0,18.0,5.0,4.0,3.0,3.0,-2.0,0.01483154296875,-0.1319580078125,0.9910888671875,-0.00726318359375,0.10546875,-0.19189453125,1.0556640625,1.8125,1.1875,1.6875
0.23,-28.0,-53.0,-128.0,-27.0,-4.0,0.0,1.0,1.0,0.01202392578125,-0.134033203125,0.9908447265625,-0.0069580078125,0.03466796875,-0.22705078125,0.97119140625,-7.4375,4.4375,-14.875
0.235,-19.0,27.0,-116.0,-49.0,-25.0,-25.0,-26.0,-27.0,0.00927734375,-0.1524658203125,0.98822021484375,0.0023193359375,0.08203125,-0.39599609375,0.97509765625,-43.25,4.5,-15.5625
0.24,29.0,127.0,-88.0,-24.0,-3.0,5.0,13.0,18.0,0.0009765625,-0.1826171875,0.98284912109375,0.0244140625,0.017578125,-0.3544921875,0.9580078125,-18.5625,8.875,-11.4375
0.245,28.0,76.0,-67.0,-51.0,-24.0,-16.0,-16.0,-10.0,-0.00140380859375,-0.1912841796875,0.9810791015625,0.02978515625,0.00830078125,-0.4140625,0.9228515625,-0.3125,-1.0625,2.0625
0.25,-12.0,6.0,-2.0,-9.0,-6.0,-8.0,-7.0,-12.0,-0.001708984375,-0.18804931640625,0.98175048828125,0.0262451171875,-0.02880859375,-0.38232421875,0.93798828125,-0.375,-2.625,3.25
0.255,4.0,-4.0,2.0,4.0,-22.0,-8.0,-23.0,-12.0,0.0013427734375,-0.17095947265625,0.98504638671875,0.01861572265625,0.03125,-0.2421875,0.99609375,22.375,3.0,9.875
0.26,-3.0,-33.0,-5.0,-1.0,-2.0,-11.0,0.0,-2.0,0.00347900390625,-0.15374755859375,0.98797607421875,0.013427734375,-0.01025390625,-0.44384765625,0.9326171875,13.75,-7.4375,8.3125
0.265,0.0,14.0,-8.0,-5.0,-8.0,-5.0,6.0,8.0,0.00799560546875,-0.145751953125,0.9892578125,0.005859375,0.05078125,-0.3544921875,0.9716796875,5.3125,-0.9375,15.375
0.27,5.0,-9.0,-14.0,-3.0,-13.0,-5.0,0.0,4.0,0.01312255859375,-0.14080810546875,0.98992919921875,0.0008544921875,0.04736328125,-0.25244140625,0.97119140625,6.4375,-9.0,6.0
0.275,4.0,4.0,3.0,-1.0,-5.0,-1.0,3.0,-7.0,0.01910400390625,-0.1307373046875,0.99114990234375,-0.00872802734375,0.0556640625,-0.24169921875,0.98779296875,12.6875,-4.9375,7.625
0.28,1.0,-4.0,3.0,-1.0,-4.0,2.0,2.0,-1.0,0.0216064453125,-0.125244140625,0.99169921875,-0.0166015625,0.0224609375,-0.24462890625,0.99365234375,3.5,-3.125,2.3125
0.285,-4.0,-23.0,-4.0,1.0,15.0,7.0,-4.0,-1.0,0.02191162109375,-0.12567138671875,0.99163818359375,-0.0172119140625,0.04296875,-0.26123046875,0.974609375,2.5625,1.5625,0.6875
0.29,-3.0,-38.0,-3.0,-3.0,-8.0,2.0,1.0,-2.0,0.0206298828125,-0.1246337890625,0.9918212890625,-0.01690673828125,0.05419921875,-0.25048828125,0.97998046875,3.5625,0.8125,-1.0625
0.295,6.0,14.0,4.0,3.0,-1.0,3.0,-2.0,2.0,0.0198974609375,-0.1246337890625,0.9918212890625,-0.01611328125,0.04541015625,-0.2470703125,0.99072265625,0.625,1.5,-0.75
0.3,-3.0,-23.0,-16.0,-1.0,-1.0,1.0,-1.0,2.0,0.01910400390625,-0.1253662109375,0.99176025390625,-0.0150146484375,0.02978515625,-0.29248046875,0.96337890625,-2.1875,-1.125,0.625
0.305,-1.0,-2.0,-9.0,-1.0,-3.0,1.0,1.0,7.0,0.024169921875,-0.12286376953125,0.99188232421875,-0.01959228515625,0.046875,-0.21240234375,0.951171875,-0.6875,-4.5625,-3.25
0.31,-2.0,27.0,6.0,6.0,3.0,-1.0,0.0,0.0,0.0255126953125,-0.12860107421875,0.9912109375,-0.01629638671875,0.056640625,-0.25048828125,0.9716796875,-0.9375,-0.125,-4.1875
0.315,54.0,90.0,43.0,21.0,11.0,9.0,10.0,20.0,0.02496337890625,-0.13140869140625,0.99090576171875,-0.011962890625,0.05517578125,-0.2548828125,0.95947265625,-7.9375,3.25,-3.5625
0.32,-37.0,-5.0,96.0,19.0,10.0,4.0,2.0,-4.0,0.01971435546875,-0.1500244140625,0.98846435546875,-0.00067138671875,0.0634765625,-0.32177734375,0.99072265625,-32.125,11.875,-18.6875
0.325,13.0,-31.0,109.0,77.0,13.0,3.0,2.0,4.0,0.00933837890625,-0.18804931640625,0.981689453125,0.02850341796875,0.025390625,-0.36865234375,0.9375,-37.5625,14.125,-20.6875
0.33,-79.0,-11.0,-18.0,-40.0,-29.0,-23.0,-28.0,-46.0,0.00634765625,-0.20166015625,0.97869873046875,0.03778076171875,0.03662109375,-0.38134765625,0.9189453125,-6.125,0.6875,-2.5625
0.335,9.0,77.0,19.0,-10.0,-11.0,-9.0,-7.0,-9.0,0.00506591796875,-0.20745849609375,0.9774169921875,0.03973388671875,0.04052734375,-0.4111328125,0.921875,-2.3125,0.6875,0.875
0.34,8.0,25.0,46.0,14.0,5.0,1.0,1.0,5.0,0.00628662109375,-0.205078125,0.97796630859375,0.0374755859375,0.03173828125,-0.4208984375,0.9345703125,3.25,-3.75,2.0
0.345,-5.0,-6.0,-14.0,-2.0,8.0,2.0,-8.0,-1.0,0.007568359375,-0.187255859375,0.98175048828125,0.03173828125,0.0126953125,-0.318359375,0.9404296875,40.3125,2.3125,6.5625
0.35,4.0,-10.0,-6.0,-3.0,15.0,4.0,-6.0,-21.0,0.00732421875,-0.1773681640625,0.983642578125,0.02978515625,0.0869140625,-0.3779296875,0.927734375,2.5,-1.9375,-3.4375
0.355,-5.0,0.0,2.0,-2.0,-7.0,-5.0,-4.0,-7.0,0.00714111328125,-0.17718505859375,0.98333740234375,0.0389404296875,0.0439453125,-0.41943359375,0.93359375,-0.25,-2.0625,-6.25
0.36,8.0,66.0,15.0,3.0,3.0,0.0,-2.0,-6.0,0.005615234375,-0.17584228515625,0.9835205078125,0.04034423828125,0.02392578125,-0.3671875,0.91455078125,-0.5625,1.5,5.875
0.365,3.0,2.0,15.0,1.0,-4.0,-7.0,-4.0,1.0,0.009765625,-0.1654052734375,0.98583984375,0.025634765625,0.03564453125,-0.2783203125,0.94384765625,11.25,-6.75,12.125
0.37,-5.0,-16.0,-14.0,-9.0,-11.0,-2.0,0.0,-1.0,0.01611328125,-0.16009521484375,0.98681640625,0.0142822265625,0.05224609375,-0.3232421875,0.95703125,12.625,-7.375,10.3125
0.375,-5.0,-25.0,5.0,-3.0,-2.0,0.0,6.0,0.0,0.01983642578125,-0.15606689453125,0.98748779296875,0.006591796875,0.0302734375,-0.30322265625,0.97607421875,0.3125,-3.125,3.8125
0.38,-2.0,-11.0,5.0,-1.0,-3.0,-4.0,0.0,0.0,0.02117919921875,-0.15234375,0.98809814453125,0.001708984375,0.0458984375,-0.3037109375,0.9658203125,-0.875,-0.1875,3.6875
0.385,1.0,31.0,6.0,-1.0,-4.0,-3.0,1.0,1.0,0.023193359375,-0.14971923828125,0.9884033203125,-0.003173828125,0.0537109375,-0.32080078125,0.95654296875,1.3125,-2.9375,4.8125
0.39,1.0,33.0,16.0,0.0,-1.0,-1.0,-1.0,0.0,0.02490234375,-0.1497802734375,0.98834228515625,-0.00775146484375,0.04541015625,-0.3076171875,0.97314453125,-0.3125,-0.0625,4.25
0.395,-6.0,9.0,15.0,2.0,2.0,2.0,0.0,-1.0,0.0234375,-0.14532470703125,0.98895263671875,-0.01470947265625,0.06103515625,-0.3115234375,0.97265625,4.125,1.0625,9.0625
0.4,-8.0,-7.0,-8.0,0.0,-1.0,-2.0,-5.0,-5.0,0.0203857421875,-0.142333984375,0.9892578125,-0.0244140625,0.052734375,-0.28125,0.96826171875,0.75,3.5,9.875
0.405,20.0,57.0,34.0,13.0,4.0,2.0,2.0,2.0,0.01715087890625,-0.139892578125,0.98931884765625,-0.0362548828125,0.03955078125,-0.26171875,0.9814453125,21.9375,4.75,14.0625
0.41,-21.0,26.0,43.0,-3.0,-3.0,-1.0,0.0,-3.0,0.00848388671875,-0.150634765625,0.98760986328125,-0.04248046875,0.01025390625,-0.28857421875,0.98046875,-5.0625,5.625,3.625
0.415,6.0,15.0,83.0,0.0,-4.0,-3.0,-3.0,-2.0,0.0035400390625,-0.15826416015625,0.98626708984375,-0.0462646484375,-0.0146484375,-0.3154296875,0.94140625,-10.8125,3.75,5.5
0.42,-31.0,-39.0,-61.0,-11.0,-8.0,-11.0,-13.0,-16.0,0.00079345703125,-0.17718505859375,0.983154296875,-0.0443115234375,0.0029296875,-0.359375,0.9140625,-24.875,3.875,-5.8125
0.425,20.0,-39.0,-121.0,-17.0,-8.0,-6.0,-1.0,-2.0,0.00091552734375,-0.20086669921875,0.97894287109375,-0.03643798828125,0.00341796875,-0.40966796875,0.94091796875,-22.1875,0.0,-6.9375
0.43,-30.0,41.0,6.0,-4.0,10.0,9.0,9.0,6.0,0.00128173828125,-0.2174072265625,0.97552490234375,-0.03204345703125,-0.01904296875,-0.43115234375,0.94091796875,-6.5,1.8125,-0.75
0.435,-20.0,-6.0,28.0,33.0,9.0,-2.0,-4.0,-7.0,-0.002685546875,-0.218994140625,0.97515869140625,-0.03179931640625,-0.0205078125,-0.42138671875,0.93359375,1.875,3.9375,-2.25
0.44,-3.0,-14.0,-5.0,-1.0,1.0,1.0,1.0,-3.0,-0.00286865234375,-0.21051025390625,0.97698974609375,-0.0328369140625,0.00927734375,-0.4423828125,0.921875,23.875,-0.125,0.1875
0.445,3.0,-5.0,0.0,-2.0,-8.0,-6.0,-11.0,21.0,-0.00079345703125,-0.20013427734375,0.97918701171875,-0.033447265625,0.01611328125,-0.4677734375,0.93408203125,14.0,-1.1875,-1.5625
0.45,7.0,31.0,21.0,0.0,7.0,10.0,-3.0,-8.0,-0.0003662109375,-0.18682861328125,0.9818115234375,-0.0338134765625,0.02978515625,-0.4716796875,0.9677734375,36.875,-3.75,2.3125
0.455,-4.0,-2.0,1.0,-3.0,0.0,-4.0,0.0,2.0,0.00213623046875,-0.170166015625,0.98486328125,-0.0316162109375,0.03173828125,-0.34130859375,0.97216796875,15.125,-1.75,-5.625
0.46,-2.0,-11.0,2.0,0.0,-1.0,-1.0,0.0,15.0,0.0042724609375,-0.1595458984375,0.9866943359375,-0.02947998046875,-0.0126953125,-0.30859375,0.95068359375,16.0,-3.4375,-3.25
0.465,-3.0,11.0,0.0,0.0,-2.0,-4.0,-7.0,-10.0,0.00848388671875,-0.1533203125,0.9874267578125,-0.0360107421875,-0.01513671875,-0.3251953125,0.95068359375,-1.25,-3.4375,2.6875
0.47,0.0,-11.0,-16.0,2.0,16.0,9.0,5.0,-6.0,0.01300048828125,-0.15216064453125,0.98748779296875,-0.03839111328125,0.02783203125,-0.30615234375,0.98388671875,1.3125,-4.625,1.625
0.475,-4.0,-10.0,-5.0,-4.0,-3.0,-4.0,-7.0,0.0,0.0166015625,-0.1484375,0.9879150390625,-0.04034423828125,0.0283203125,-0.275390625,0.962890625,0.75,-1.6875,-0.1875
0.48,-2.0,-16.0,-8.0,-5.0,-6.0,-9.0,-1.0,3.0,0.01800537109375,-0.14837646484375,0.98785400390625,-0.041748046875,0.02734375,-0.30126953125,0.95654296875,2.8125,-1.8125,1.5
0.485,-2.0,-12.0,-2.0,-3.0,-2.0,-2.0,1.0,1.0,0.01953125,-0.14630126953125,0.98797607421875,-0.04522705078125,0.02880859375,-0.28125,0.95751953125,1.75,-1.375,1.0
0.49,1.0,47.0,16.0,1.0,-1.0,-4.0,2.0,-1.0,0.02154541015625,-0.147705078125,0.9876708984375,-0.04656982421875,0.0322265625,-0.2822265625,0.96337890625,0.125,-1.6875,-0.8125
0.495,2.0,31.0,7.0,2.0,3.0,3.0,0.0,-2.0,0.0223388671875,-0.1494140625,0.98736572265625,-0.04681396484375,0.0361328125,-0.30126953125,0.966796875,-0.9375,0.0625,0.8125
0.5,-10.0,-12.0,-2.0,3.0,3.0,2.0,2.0,-3.0,0.0208740234375,-0.1490478515625,0.9874267578125,-0.04840087890625,0.02197265625,-0.3603515625,0.95849609375,-1.125,-0.0625,2.3125
0.505,2.0,4.0,0.0,2.0,1.0,-1.0,10.0,-8.0,0.01849365234375,-0.15185546875,0.98687744140625,-0.0517578125,0.015625,-0.3427734375,0.943359375,-10.0625,2.875,7.375
0.51,3.0,-24.0,-17.0,0.0,1.0,-2.0,-10.0,3.0,0.01470947265625,-0.1546630859375,0.98614501953125,-0.05731201171875,0.025390625,-0.29541015625,0.951171875,-3.5625,1.3125,4.3125
0.515,-6.0,-21.0,29.0,10.0,7.0,2.0,5.0,5.0,0.0128173828125,-0.1585693359375,0.985595703125,-0.05731201171875,0.00390625,-0.32080078125,0.9599609375,-2.375,0.125,1.0625
0.52,23.0,-95.0,-37.0,0.0,1.0,0.0,0.0,1.0,0.01336669921875,-0.16009521484375,0.985107421875,-0.0604248046875,-0.0283203125,-0.31640625,0.9248046875,-17.9375,-0.625,6.5625
0.525,-52.0,-51.0,-55.0,2.0,4.0,7.0,9.0,4.0,0.0125732421875,-0.1697998046875,0.983642578125,-0.058349609375,0.00634765625,-0.3125,0.94873046875,-21.25,5.75,-6.0
0.53,-65.0,-81.0,-10.0,8.0,-14.0,-12.0,-17.0,-33.0,0.0098876953125,-0.1937255859375,0.97967529296875,-0.05108642578125,0.00927734375,-0.38916015625,0.93310546875,-16.4375,4.0625,-2.8125
0.535,-7.0,55.0,13.0,-17.0,0.0,1.0,4.0,9.0,0.00714111328125,-0.202392578125,0.97821044921875,-0.044677734375,0.02001953125,-0.4287109375,0.95166015625,-10.0,1.6875,-6.0625
0.54,13.0,25.0,24.0,5.0,0.0,1.0,-2.0,3.0,0.00762939453125,-0.204833984375,0.9779052734375,-0.04095458984375,-0.02587890625,-0.4150390625,0.93212890625,-0.3125,-1.0625,-0.625
0.545,-23.0,-62.0,-31.0,-4.0,-4.0,-3.0,-6.0,-4.0,0.009033203125,-0.19671630859375,0.9794921875,-0.04229736328125,0.00439453125,-0.4052734375,0.91943359375,13.0625,1.125,0.0625
0.55,-12.0,-80.0,-12.0,-1.0,-6.0,-4.0,12.0,15.0,0.006591796875,-0.18438720703125,0.98193359375,-0.0419921875,-0.0078125,-0.27587890625,0.9560546875,-2.0,4.0,-3.375
0.555,7.0,45.0,31.0,7.0,3.0,8.0,-3.0,-6.0,0.00634765625,-0.16351318359375,0.98565673828125,-0.04119873046875,0.06884765625,-0.22216796875,0.99365234375,36.5625,-0.1875,-8.6875
0.56,8.0,-26.0,-26.0,0.0,4.0,5.0,4.0,3.0,0.00811767578125,-0.16107177734375,0.98614501953125,-0.038818359375,0.017578125,-0.34716796875,0.96484375,-1.5625,-2.875,-7.4375
0.565,-1.0,-11.0,-2.0,0.0,4.0,-1.0,-1.0,2.0,0.00994873046875,-0.15435791015625,0.98681640625,-0.0477294921875,0.0126953125,-0.30517578125,0.93310546875,3.3125,-3.5,9.0625
0.57,-4.0,-35.0,-5.0,0.0,6.0,3.0,1.0,-2.0,0.0118408203125,-0.1463623046875,0.987548828125,-0.0560302734375,0.00537109375,-0.29150390625,0.96435546875,6.25,-4.0,4.375
0.575,2.0,-7.0,-23.0,-4.0,1.0,0.0,0.0,-3.0,0.0147705078125,-0.14404296875,0.98760986328125,-0.05975341796875,0.01220703125,-0.298828125,0.96923828125,1.1875,-4.0625,2.3125
0.58,2.0,-16.0,-24.0,-6.0,-3.0,0.0,0.0,3.0,0.0169677734375,-0.1424560546875,0.98760986328125,-0.0633544921875,0.01025390625,-0.2998046875,0.9736328125,0.1875,-1.8125,2.0625
0.585,-1.0,9.0,8.0,1.0,8.0,3.0,-12.0,0.0,0.0172119140625,-0.14068603515625,0.98773193359375,-0.06524658203125,0.0302734375,-0.296875,0.95751953125,2.1875,0.25,2.1875
0.59,-7.0,9.0,-5.0,2.0,0.0,-1.0,12.0,-9.0,0.016357421875,-0.13482666015625,0.9884033203125,-0.0673828125,0.015625,-0.265625,0.9765625,8.1875,0.5625,0.875
0.595,-7.0,-47.0,-53.0,-20.0,-13.0,-7.0,-9.0,-11.0,0.01593017578125,-0.1302490234375,0.98883056640625,-0.07073974609375,0.00537109375,-0.3134765625,0.93701171875,13.125,-0.25,7.125
0.6,0.0,-6.0,-27.0,13.0,7.0,6.0,-3.0,12.0,0.01165771484375,-0.1241455078125,0.988525390625,-0.08489990234375,0.0107421875,-0.17529296875,0.97216796875,1.5625,5.0625,-5.0625
0.605,-41.0,34.0,-100.0,-70.0,-20.0,-12.0,13.0,-21.0,0.0062255859375,-0.13604736328125,0.9879150390625,-0.07366943359375,0.00537109375,-0.26953125,0.94970703125,-15.375,0.0625,-15.25
0.61,48.0,46.0,62.0,-4.0,-9.0,-12.0,-15.0,-14.0,0.011474609375,-0.16180419921875,0.98529052734375,-0.052978515625,0.0205078125,-0.3203125,0.9375,-28.0625,-1.625,-13.5625
0.615,-31.0,-113.0,-8.0,5.0,3.0,0.0,-8.0,3.0,0.015380859375,-0.17999267578125,0.9822998046875,-0.048583984375,0.01513671875,-0.322265625,0.955078125,-17.5,3.8125,-2.5625
0.62,-26.0,-70.0,63.0,2.0,-2.0,-1.0,-2.0,8.0,0.0145263671875,-0.18743896484375,0.98095703125,-0.0479736328125,-0.01318359375,-0.326171875,0.9150390625,2.75,-1.5625,0.1875
0.625,-17.0,-56.0,-75.0,-27.0,-14.0,-9.0,-24.0,-24.0,0.01678466796875,-0.185546875,0.98126220703125,-0.04840087890625,0.0322265625,-0.39111328125,0.9326171875,0.375,-1.8125,0.6875
0.63,-15.0,-9.0,9.0,-6.0,-8.0,-6.0,3.0,-1.0,0.01593017578125,-0.18048095703125,0.982177734375,-0.0498046875,0.0498046875,-0.32470703125,0.93994140625,4.375,3.8125,-0.0625
0.635,2.0,-27.0,-18.0,-9.0,15.0,3.0,-18.0,-25.0,0.00836181640625,-0.17510986328125,0.98309326171875,-0.0523681640625,0.001953125,-0.40869140625,0.89453125,10.875,-1.8125,9.375
