timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.005,-1,-1,-3,-2,-2,-3,-13,2
0.01,0,5,1,-3,6,0,-1,-4
0.015,-1,2,-1,-1,0,1,-1,-3
0.02,-1,-6,7,-1,-8,-1,11,-1
0.025,0,-4,-2,-2,-3,-2,0,-2
0.03,-3,6,3,0,5,-2,1,-2
0.035,-12,-4,-8,-2,7,2,13,1
0.04,-3,-8,-2,0,-9,-2,-22,-10
0.045,0,-1,3,4,-3,-3,-2,0
0.05,-2,0,-3,-2,4,-5,0,1
0.055,-1,1,3,-1,1,1,0,-2
0.06,2,-5,0,-1,-8,0,0,7
0.065,-4,-7,-7,-2,-4,1,-2,-3
0.07,-1,2,-10,-3,-1,-4,-9,-5
0.075,2,5,-1,2,4,0,-7,0
0.08,-4,-5,-1,1,-6,-3,16,1
0.085,7,3,5,2,-3,2,-2,0
0.09,-3,0,1,-1,3,-4,-1,2
0.095,1,-7,-5,-2,3,2,-9,-3
0.1,1,0,4,3,2,1,8,2
0.105,-2,-3,-1,-1,1,-2,-1,1
0.11,-2,0,-6,-5,-1,0,7,-2
0.115,2,5,4,-4,-7,-7,-11,-4
0.12,-3,-1,-3,0,-4,0,-7,-7
0.125,-2,0,-2,1,1,0,11,-5
0.13,2,2,0,-1,3,0,-17,4
0.135,-1,-2,-3,-1,1,-1,9,3
0.14,-1,-6,-4,-3,-7,-2,-13,-3
0.145,1,7,10,4,0,-1,-6,-1
0.15,-1,-11,2,3,-13,-5,0,0
0.155,0,-4,-1,2,2,5,2,1
0.16,-3,3,-5,-3,10,-1,-2,-2
0.165,-3,1,0,-4,2,-1,5,-2
0.17,-1,-3,-1,-2,-13,-4,7,-2
0.175,0,1,5,-1,-3,-2,-7,-1
0.18,-1,2,-3,-1,6,2,6,1
0.185,-1,0,-4,1,3,-3,-7,-1
0.19,-2,-6,-1,-2,-6,-2,-10,-2
0.195,-2,-2,-6,-1,-6,-7,3,0
0.2,-1,5,1,-4,5,1,1,-3
0.205,-1,4,2,1,7,6,2,1
0.21,1,-3,1,-2,-5,1,0,-2
0.215,-4,-4,1,-3,-6,-3,-16,-4
0.22,2,4,2,0,1,-6,-2,4
0.225,1,3,1,1,4,-1,3,1
0.23,-5,-5,-1,-1,-2,1,-5,-1
0.235,0,-1,-12,-2,-1,-2,1,-5
0.24,-2,2,-1,-4,-1,-3,-1,-2
0.245,-2,-4,-4,-2,-5,-3,-6,-2
0.25,0,-5,-11,-1,-5,0,-3,-1
0.255,-2,-4,-4,-3,-2,2,5,0
0.26,-2,0,-3,1,-3,-5,-5,-1
0.265,1,-1,-2,-2,-3,3,9,-1
0.27,-1,0,7,0,3,-3,-7,2
0.275,1,-3,0,1,-1,-3,0,-1
0.28,-1,3,1,0,4,6,-2,-2
0.285,0,0,-3,-3,-2,-1,11,-4
0.29,-3,-3,0,2,-6,0,-1,-1
0.295,-1,-4,3,-2,-4,-5,-9,-3
0.3,-1,-7,-3,0,2,1,1,-2
0.305,-2,-1,-3,1,9,3,3,2
0.31,0,4,3,-1,-4,-1,1,-1
0.315,-1,2,1,-1,-4,-3,-1,-1
0.32,-1,1,1,-2,-3,-5,-7,-4
0.325,-3,-4,-12,-8,-7,-7,-3,-3
0.33,2,-2,1,2,3,3,3,2
0.335,-1,-4,0,0,1,1,-2,-2
0.34,0,-3,-4,-5,-2,-1,3,-3
0.345,-1,-1,-2,-4,-11,-6,-14,-1
0.35,1,2,-2,1,0,-2,1,2
0.355,1,-2,3,2,4,2,5,1
0.36,-1,-6,-12,-6,-4,-2,0,-1
0.365,0,-1,3,-1,-2,2,-3,0
0.37,0,2,0,-2,2,2,-3,-2
0.375,0,-2,-3,0,-1,0,0,0
0.38,-1,-1,0,-2,-4,-3,-5,-1
0.385,-3,-5,-1,-3,-6,-3,-3,-1
0.39,0,0,7,1,3,-2,-1,-3
0.395,-1,-1,-5,-2,1,2,1,-1
0.4,0,0,2,5,1,3,0,0
0.405,1,-1,-1,-3,-3,-4,-2,2
0.41,-1,-4,3,-2,-4,-2,-3,-2
0.415,1,4,8,1,-2,0,1,1
0.42,0,-3,1,-5,-5,-3,-2,-3
0.425,-2,-2,2,-1,-4,-1,-2,-3
0.43,-3,0,-1,3,2,-5,-8,-2
0.435,-1,3,0,2,4,2,3,-2
0.44,-1,0,-4,-1,1,0,1,1
0.445,1,-2,5,1,1,1,-2,-4
0.45,0,-4,-1,-3,0,-2,0,-3
0.455,-2,-4,-3,-6,-8,-3,-4,-3
0.46,-2,1,0,-3,-3,-2,-2,-3
0.465,-2,2,1,1,3,0,-1,-2
0.47,-1,0,-3,2,4,5,1,-1
0.475,-1,0,0,1,0,-3,-3,0
0.48,-2,0,-1,-6,-2,-1,2,0
0.485,-1,0,-5,0,-4,-3,-5,-1
0.49,0,0,2,0,-2,-2,-1,-2
0.495,-2,-4,-3,0,1,2,3,2
0.5,0,1,3,2,3,-3,-2,3
0.505,-2,-5,-3,2,2,6,0,-2
0.51,0,-1,-3,-1,1,0,0,0
0.515,-3,-8,-7,-4,-9,-5,-5,-4
0.52,-1,-3,-5,-2,-1,-4,-2,-2
0.525,0,-3,-1,1,5,1,-1,-1
0.53,-1,0,-2,0,-3,-2,-1,-1
0.535,-1,5,-1,-1,-2,0,-2,0
0.54,-1,-1,-4,0,-4,1,-3,0
0.545,-1,-2,-1,-3,-6,-3,0,-1
0.55,1,1,-6,-3,-3,-2,-2,-3
0.555,-1,0,-2,0,-1,-5,-2,-2
0.56,-1,-1,0,3,3,2,1,0
0.565,-1,1,3,-1,-2,-4,-2,-1
0.57,-3,-6,-4,-3,-3,-1,0,-1
0.575,0,2,3,-2,-6,-3,-4,-2
0.58,-2,-3,-2,0,1,2,2,-1
0.585,-1,-4,1,0,3,-2,-2,-1
0.59,-2,0,0,-1,-4,-2,-1,0
0.595,0,-3,-1,0,1,-1,1,-1
0.6,-1,-2,-1,-2,-4,-2,-4,-3
0.605,0,0,-4,-5,-9,-6,-5,-4
0.61,0,3,-2,1,4,1,2,0
0.615,0,1,9,2,1,1,-1,0
0.62,-2,-6,-5,-3,-2,-3,0,-4
0.625,-2,-2,-4,1,5,5,5,5
0.63,0,-4,-7,-7,-5,-3,-6,-5
0.635,-1,-4,0,-3,-5,-2,1,-1
0.64,-1,2,3,1,-4,-3,-1,0
0.645,-2,0,6,-2,-7,-3,-4,-1
0.65,-1,0,4,1,2,0,4,1
0.655,0,1,0,1,7,3,0,-2
0.66,0,-2,-7,-3,-2,-1,-1,0
0.665,0,1,-5,0,-1,-1,0,-3
0.67,-1,3,1,1,-5,-4,-3,-2
0.675,-3,-6,-11,-6,-7,-6,-4,0
0.68,0,0,4,1,1,1,1,2
0.685,-1,0,4,5,3,1,-1,-2
0.69,-2,-5,-6,-3,0,-1,-2,-2
0.695,-2,-2,-3,0,1,0,-2,0
0.7,0,-2,-1,-3,-4,-4,-3,-1
0.705,-1,-3,-4,-3,-2,0,-1,0
0.71,0,0,3,-1,-2,-3,-2,-2
0.715,0,-3,-2,1,0,-1,0,0
0.72,0,-5,3,-1,2,3,0,-4
0.725,-2,-3,-2,-2,-1,-2,0,0
0.73,-1,-1,1,-4,-2,-5,-1,-1
0.735,-1,-1,-1,-2,-3,-1,-3,-4
0.74,-2,1,0,1,1,2,1,1
0.745,-2,-6,-6,-2,1,0,0,-1
0.75,0,-1,0,1,-3,-1,-2,0
0.755,-3,-4,-10,-4,-5,-3,0,0
0.76,-1,1,1,-2,-7,-6,-5,-3
0.765,0,-2,-1,-4,-2,1,0,-4
0.77,-2,-1,-2,3,1,1,-3,1
0.775,0,4,0,0,2,-3,-5,-3
0.78,0,1,3,2,0,1,1,-3
0.785,0,-1,-1,-3,-6,-6,0,-1
0.79,-1,-1,0,-2,1,5,6,0
0.795,0,-1,3,-3,-1,-3,-6,-5
0.8,-2,-7,-6,-1,0,1,3,5
0.805,2,2,1,1,6,2,0,0
0.81,-2,-4,0,-2,-1,-2,-1,-2
0.815,-1,-1,-1,-1,-1,1,0,0
0.82,-2,2,-2,0,-2,-4,-5,-4
0.825,-3,-2,3,-4,-8,-6,-4,-4
0.83,-2,-6,-10,-3,-2,-1,-1,1
0.835,-1,-1,2,-2,1,0,1,1
0.84,-2,-4,-2,2,1,2,2,-2
0.845,1,1,5,-1,-4,-3,-6,1
0.85,-1,1,-1,-1,-2,-4,-3,-3
0.855,-1,2,1,0,-1,0,-2,-3
0.86,-2,-4,-4,-3,-5,-3,-3,-3
0.865,-2,-1,-3,2,1,-3,0,0
0.87,0,-2,-1,0,3,1,0,1
0.875,-2,2,3,1,3,1,3,-1
0.88,0,1,1,-4,-6,-3,-3,-3
0.885,-2,-2,-2,-3,-4,-1,-1,0
0.89,-1,-3,-4,-5,-6,-4,-5,-3
