0.01,20,10,17,2,2,4,5,0
0.015,6,6,3,1,1,1,7,3
0.02,6,19,3,0,3,2,11,6
0.025,13,10,9,6,0,0,1,0
0.03,8,2,5,1,3,1,1,2
0.035,3,3,4,0,1,2,0,7
0.04,2,21,5,1,1,0,5,3
0.045,2,24,7,1,3,3,4,6
0.05,4,10,4,0,3,1,5,0
0.055,2,4,2,3,1,0,1,3
0.06,7,2,3,1,2,2,0,0
0.065,12,14,13,1,0,3,4,5
0.07,6,65,53,1,1,0,1,2
0.075,7,19,9,0,2,0,4,2
0.08,2,6,4,2,0,2,0,1
0.085,12,4,3,3,2,0,34,7
0.09,4,26,0,1,1,2,48,7
0.095,5,13,6,4,1,3,3,2
0.1,3,8,6,3,1,1,10,3
0.105,2,10,5,1,1,2,9,3
0.11,1,11,5,0,1,3,36,7
0.115,3,0,6,0,0,1,0,6
0.12,14,4,0,3,3,2,16,1
0.125,16,5,0,0,1,1,13,2
0.13,1,10,1,1,2,5,33,13
0.135,15,6,0,2,2,0,2,10
0.14,21,12,6,0,3,3,18,30
0.145,12,6,25,2,1,6,8,20
0.15,5,2,15,7,1,2,2,2
0.155,0,8,7,0,1,2,9,17
0.16,4,0,4,0,5,0,5,17
0.165,1,5,21,1,0,5,14,4
0.17,1,4,5,0,1,0,9,7
0.175,4,7,7,1,0,6,42,27
0.18,12,6,5,2,5,11,102,28
0.185,25,21,10,3,9,16,100,71
0.19,18,15,7,2,8,17,107,31
0.195,16,17,1,3,10,27,37,10
0.2,12,3,4,2,1,3,57,29
0.205,18,10,4,0,3,13,67,47
0.21,1,6,8,1,3,2,42,49
0.215,34,3,6,2,1,3,12,17
0.22,2,4,11,8,2,2,18,3
0.225,11,7,0,0,1,2,24,4
0.23,4,12,2,2,5,11,56,42
0.235,21,2,4,2,1,1,25,10
0.24,4,0,3,1,0,2,1,4
0.245,7,2,1,4,2,3,15,30
0.25,6,2,0,1,1,2,4,8
0.255,2,1,3,0,1,2,12,20
0.26,15,10,5,3,8,17,102,38
0.265,17,14,4,4,11,18,114,15
0.27,10,8,7,0,9,11,27,9
0.275,10,2,7,6,3,2,29,30
0.28,5,5,4,2,0,4,24,20
0.285,2,6,3,3,0,4,1,30
0.29,13,10,35,5,2,6,26,8
0.295,0,11,69,9,6,1,11,4
0.3,2,1,15,4,1,5,9,8
0.305,8,3,1,1,3,10,42,26
0.31,8,7,9,1,1,5,48,21
0.315,9,3,23,2,2,3,41,34
0.32,3,9,16,2,2,2,1,10
0.325,4,3,4,6,3,4,7,18
0.33,0,1,11,1,1,0,19,13
0.335,10,2,8,0,1,2,10,1
0.34,4,0,7,1,2,5,29,4
0.345,2,2,9,2,0,0,17,4
0.35,1,3,13,4,1,3,1,1
0.355,1,4,4,1,1,0,9,2
0.36,3,2,6,1,0,1,1,1
0.365,2,3,2,3,0,1,4,7
0.37,1,8,12,1,1,1,17,11
0.375,3,5,23,3,1,2,6,8
0.38,8,9,29,8,6,9,18,30
0.385,1,3,4,1,1,5,6,2
0.39,2,5,23,3,3,3,17,6
0.395,1,3,19,0,1,0,17,15
0.4,3,2,15,1,2,2,15,3
0.405,1,1,15,0,0,2,20,7
0.41,4,6,6,11,8,5,33,1
0.415,8,13,27,10,3,8,23,8
0.42,6,7,17,5,3,4,22,13
0.425,7,5,20,4,2,5,4,6
0.43,10,2,7,3,4,8,4,1
0.435,0,2,4,5,2,0,13,2
0.44,2,7,22,2,3,4,12,4
0.445,3,0,4,0,4,7,17,4
0.45,3,2,0,6,3,11,6,4
0.455,2,5,5,3,2,7,1,5
0.46,4,1,7,4,4,4,11,9
0.465,0,0,18,8,1,0,1,11
0.47,5,1,2,4,7,16,23,6
0.475,9,10,2,3,10,4,6,1
0.48,8,2,20,6,8,1,17,7
0.485,4,4,8,5,14,26,36,5
0.49,3,1,11,13,16,9,28,12
